,Customer ID,frequency,recency,T,monetary_value,p_not_alive,p_alive,predicted_purchases,actual30,error,expected_avg_sales_,predicted_clv,Labels
1,12347.0,7.0,402.0,404.0,717.3985714285715,0.0006343071338141826,0.9993656928661858,0.49974117051212585,0.5223880597014926,0.022646889189366748,809.5435736572518,8446.877770865398,Low
2,12348.0,4.0,363.0,438.0,449.31,0.034893999778317975,0.965106000221682,0.2777101196408565,0.3305785123966942,0.05286839275583771,561.1608043902589,3153.8076495513264,Low
3,12349.0,4.0,717.0,735.0,1107.1725,0.003674163509237993,0.996325836490762,0.18037375284672913,0.16736401673640167,-0.013009736110327463,1382.358198912014,5372.042871403087,Low
6,12352.0,8.0,356.0,392.0,218.1825,0.01728044051032218,0.9827195594896778,0.5686684412742474,0.6741573033707865,0.10548886209653907,242.40820181391845,2827.8865525561732,Low
7,12353.0,1.0,204.0,408.0,89.0,0.12693276754452754,0.8730672324554725,0.10137019982234136,0.14705882352941177,0.045688623707070414,440.0412388518308,844.4199049653935,V_High
9,12355.0,1.0,353.0,567.0,459.4,0.08609570786538268,0.9139042921346173,0.07945003992155666,0.08498583569405099,0.0055357957724943285,2252.1195882036814,3448.6991496426085,Low
10,12356.0,5.0,402.0,424.0,1092.648,0.007696938594489278,0.9923030614055107,0.35444733308181753,0.373134328358209,0.01868699527639145,1299.6335085213775,9568.51070255658,Low
11,12357.0,1.0,355.0,388.0,6207.67,0.011678278754618021,0.988321721245382,0.11981028314704968,0.08450704225352113,-0.035303240893528556,30373.92199972842,74765.7067265617,Low
12,12358.0,4.0,730.0,731.0,614.3100000000001,0.00019299577549081182,0.9998070042245092,0.1819124520444245,0.1643835616438356,-0.017528890400588887,767.1272032898613,3022.1687698893993,Low
13,12359.0,12.0,727.0,734.0,662.85,0.0014250651991648544,0.9985749348008351,0.4805261280135654,0.4951856946354883,0.01465956662192286,710.0016745956982,7383.656764608863,Low
14,12360.0,7.0,603.0,655.0,584.9842857142856,0.0153181732164277,0.9846818267835723,0.3209407874314046,0.34825870646766166,0.027317919036257077,660.1497438205797,4458.72080653574,Low
15,12361.0,3.0,395.0,682.0,134.01666666666668,0.1803916544236268,0.8196083455763732,0.12602906225523186,0.22784810126582278,0.10181903901059092,182.81437897033658,400.521315070786,Low
16,12362.0,13.0,735.0,738.0,396.50615384615384,0.0005882063247669711,0.999411793675233,0.5158208827068258,0.5306122448979592,0.014791362191133417,422.43162612827683,4723.986495609928,Low
17,12363.0,1.0,133.0,242.0,252.9,0.08417263904957639,0.9158273609504236,0.16371532321440393,0.22556390977443608,0.06184858656003214,1241.8761239996936,3982.0462394805195,Low
18,12364.0,3.0,105.0,112.0,229.7266666666667,0.0053379003554956395,0.9946620996445044,0.6441247993735398,0.8571428571428571,0.21301805776931726,313.06714434433746,4010.6555152729584,Low
23,12369.0,2.0,228.0,641.0,721.415,0.37916309226355294,0.6208369077364471,0.07466175343592048,0.2631578947368421,0.18849614130092163,1198.746052784762,1381.9171494510813,Low
24,12370.0,5.0,617.0,668.0,751.47,0.013504014887148919,0.9864959851128511,0.2352106502157239,0.24311183144246354,0.007901181226739634,893.8948786330627,4439.305429881401,Medium
25,12371.0,3.0,601.0,645.0,1153.2333333333333,0.010915663684341825,0.9890843363156582,0.1600043657674329,0.1497504159733777,-0.010253949794055195,1569.8772705031402,5309.403338434248,Low
26,12372.0,2.0,225.0,296.0,449.41,0.0411160055455283,0.9588839944544717,0.22528961617795007,0.26666666666666666,0.041377050488716594,747.0628811630786,3360.475203767304,Low
27,12373.0,2.0,362.0,673.0,344.875,0.1694913983988966,0.8305086016011034,0.09555155648513174,0.16574585635359115,0.07019429986845942,573.4752620183104,967.2138652869446,Low
28,12374.0,2.0,563.0,588.0,800.34,0.006194906227671937,0.9938050937723281,0.12920175872284065,0.10657193605683837,-0.022629822666002275,1329.8064903511354,3633.6452176376342,Low
29,12375.0,2.0,96.0,98.0,112.56,0.0015123192970895039,0.9984876807029105,0.5190049097761793,0.625,0.1059950902238207,187.7000887116015,1932.6467514083456,Low
30,12376.0,1.0,28.0,417.0,70.6,0.5920303725147953,0.40796962748520466,0.04648548961334043,1.0714285714285714,1.024943081815231,350.02438780411467,301.9220165399277,Low
31,12377.0,3.0,274.0,589.0,738.4533333333334,0.3149187382777332,0.6850812617222668,0.12030230590205099,0.3284671532846716,0.2081648473826206,1005.398720489264,1936.603719782038,Low
32,12378.0,1.0,433.0,562.0,4008.62,0.041593853339012554,0.9584061466609874,0.0839822981191564,0.06928406466512702,-0.014698233454029389,19615.685244484932,33240.43218296526,Low
33,12379.0,4.0,453.0,534.0,312.6975,0.03072558136423864,0.9692744186357614,0.23427020651987707,0.26490066225165565,0.030630455731778583,390.6299882104291,1871.0214686205254,Low
34,12380.0,9.0,641.0,662.0,708.8166666666667,0.005147340512022702,0.9948526594879773,0.403116981895901,0.421216848673947,0.01809986677804598,777.6671475259928,6700.191066896352,Low
35,12381.0,5.0,115.0,119.0,107.04400000000001,0.0029066271661192244,0.9970933728338808,0.9451290307571966,1.3043478260869565,0.35921879532976,127.52505905381899,2402.8014494959384,Medium
37,12383.0,5.0,168.0,352.0,247.718,0.4165378451346965,0.5834621548653035,0.24433305173797812,0.8928571428571428,0.6485240911191646,294.81860090267446,1199.6692301167957,Medium
38,12384.0,2.0,93.0,121.0,136.735,0.02498761835867913,0.9750123816413209,0.44417617025310874,0.6451612903225807,0.200985120069472,227.8443532433351,2007.6961407293527,Low
40,12386.0,1.0,29.0,366.0,143.0,0.5295883415870772,0.47041165841292276,0.059932158515166034,1.0344827586206897,0.9745506001055237,704.2211277962152,795.7757435238096,Low
42,12388.0,7.0,567.0,582.0,491.3557142857143,0.0038688332424836602,0.9961311667575163,0.3612537111782602,0.37037037037037035,0.009116659192110133,554.5151380648837,4254.792615972293,Low
43,12389.0,2.0,253.0,655.0,634.24,0.3351118108410046,0.6648881891589954,0.07840657349173738,0.23715415019762845,0.15874757670589107,1053.9859179117993,1298.9647048211573,Low
45,12391.0,5.0,641.0,662.0,407.086,0.004844286955989818,0.9951557130440102,0.23923115030211503,0.234009360374415,-0.005221789927700032,484.3435819039142,2476.228776219299,Low
47,12393.0,6.0,356.0,428.0,345.4916666666666,0.040224522182141564,0.9597754778178584,0.3983331926324624,0.5056179775280899,0.10728478489562748,398.4887183367953,3195.2573730148897,Low
48,12394.0,1.0,154.0,217.0,891.4,0.04165193868064343,0.9583480613193566,0.1864780233609938,0.19480519480519481,0.008327171444201004,4365.558699758755,16168.332464010313,Low
49,12395.0,16.0,587.0,602.0,245.0925,0.004173868073118814,0.9958261319268812,0.7527688399317526,0.817717206132879,0.06494836620112643,257.979634384166,4133.6769314165595,V_High
51,12397.0,1.0,100.0,135.0,1195.09,0.028150175520203602,0.9718498244797964,0.26650758676355096,0.3,0.033492413236449026,5851.277041860979,30916.315528743842,Low
53,12399.0,6.0,525.0,644.0,292.72,0.05325910626941177,0.9467408937305882,0.27335942155839626,0.34285714285714286,0.0694977212987466,337.6498849533268,1845.234878080816,Low
56,12402.0,6.0,347.0,670.0,175.40833333333333,0.5406667472300584,0.4593332527699416,0.12794098970284576,0.5187319884726225,0.39079099876977674,202.40486820310727,336.9681303303014,Low
57,12403.0,1.0,472.0,521.0,409.70000000000005,0.013985391078979115,0.9860146089210209,0.09243787489186506,0.0635593220338983,-0.028878552857966755,2008.9762459715357,3858.0210083868615,Low
60,12406.0,6.0,675.0,697.0,865.1683333333334,0.004932296894220811,0.9950677031057792,0.267353838762405,0.26666666666666666,-0.0006871720957383198,997.607983155852,5718.529618075128,Low
61,12407.0,4.0,215.0,264.0,370.455,0.03290806390721557,0.9670919360927844,0.4251629465556716,0.5581395348837209,0.13297658832804932,462.72758993433075,3942.394825691525,Low
62,12408.0,11.0,466.0,498.0,371.4127272727273,0.012433940993575865,0.9875660590064241,0.6215972944368394,0.7081545064377683,0.08655721200092892,400.4630035597755,5187.904243650866,Low
63,12409.0,7.0,487.0,565.0,2326.8557142857144,0.03387256065060251,0.9661274393493975,0.3598139936357836,0.43121149897330596,0.07139750533752237,2625.3821384494777,19285.280062044953,Low
64,12410.0,2.0,201.0,502.0,340.53999999999996,0.2867392046760372,0.7132607953239628,0.10677245809632172,0.29850746268656714,0.19173500459024542,566.2766937972115,1026.6267931554598,Medium
66,12412.0,7.0,465.0,539.0,272.87857142857143,0.033160120992328124,0.9668398790076719,0.37555727628341995,0.4516129032258065,0.07605562694238654,308.0225717444435,2360.172915744113,Medium
67,12413.0,4.0,336.0,402.0,173.53750000000002,0.03193269182175784,0.9680673081782422,0.3000011785563214,0.3571428571428571,0.05714167858653568,216.91917565970996,1317.580561488082,Low
68,12414.0,3.0,246.0,463.0,187.47,0.20506003574614007,0.7949399642538599,0.1728529147054725,0.36585365853658536,0.19300074383111285,255.55959352602488,784.8498521087002,Medium
69,12415.0,24.0,503.0,527.0,5872.60625,0.010717343931438417,0.9892826560685616,1.2427541732397254,1.4314115308151094,0.18865735757538404,6073.997157977573,158141.25028205244,Low
71,12417.0,26.0,730.0,733.0,246.11961538461537,0.0006066081260271972,0.9993933918739728,1.006766737835641,1.0684931506849316,0.06172641284929048,253.9261231392801,5541.103265959162,Medium
72,12418.0,4.0,518.0,630.0,418.2525,0.040568892202115014,0.959431107797885,0.19990068729875438,0.23166023166023167,0.03175954436147729,522.3923108519292,2120.1743507508104,Low
73,12419.0,1.0,28.0,413.0,180.1,0.5878229032591185,0.41217709674088154,0.04735729627637,1.0714285714285714,1.0240712751522014,885.7224959413385,779.4266300828665,Low
75,12421.0,6.0,490.0,505.0,169.17166666666665,0.004343619458311965,0.995656380541688,0.3574812902900558,0.36734693877551017,0.009865648485454348,195.21480679007186,1468.8816300224264,Medium
76,12422.0,13.0,626.0,721.0,311.1038461538461,0.0522181787955025,0.9477818212044975,0.4997405934550046,0.6230031948881789,0.1232626014331743,331.46202184841826,3321.6168158085793,Low
77,12423.0,10.0,465.0,465.0,231.339,0.0,1.0,0.6120625207248169,0.6451612903225807,0.03309876959776381,251.43796373585457,3241.9683641572137,Low
78,12424.0,5.0,570.0,732.0,662.156,0.06840454333086143,0.9315954566691386,0.20430527078643115,0.2631578947368421,0.05885262395041094,787.6801168669319,3158.096788991072,Low
79,12425.0,2.0,370.0,448.0,358.3,0.030186137714101835,0.9698138622858982,0.1604353221236153,0.16216216216216217,0.0017268400385468674,595.7684058172152,1942.572696604166,Low
80,12426.0,2.0,468.0,662.0,274.46500000000003,0.07120076623429594,0.9287992337657041,0.1084748753111497,0.12820512820512822,0.01973025289397852,456.5545726417081,968.5253885342161,Low
81,12427.0,4.0,360.0,371.0,101.2175,0.0039248860568522614,0.9960751139431477,0.3305918354664054,0.33333333333333337,0.0027414978669279555,126.64347888141151,866.9462946584528,Low
82,12428.0,9.0,258.0,283.0,323.1088888888889,0.015238789452010737,0.9847612105479893,0.8326688461667617,1.0465116279069768,0.2138427817402151,354.5566960278193,5995.864833981661,Low
83,12429.0,6.0,537.0,546.0,1004.6916666666666,0.002337601992501326,0.9976623980074987,0.334198337581066,0.335195530726257,0.0009971931451910332,1158.4601480759063,8207.005230293964,Low
85,12431.0,28.0,658.0,693.0,342.82642857142855,0.015206986784341736,0.9847930132156583,1.1221800881256205,1.2765957446808511,0.1544156565552306,352.8872155679162,8364.806886028988,Low
86,12432.0,2.0,130.0,172.0,871.33,0.032912486654048334,0.9670875133459517,0.3458634056837218,0.46153846153846156,0.11567505585473975,1447.6903099626252,9958.781726379146,Low
87,12433.0,8.0,476.0,476.0,2553.6075,0.0,1.0,0.48894698624916344,0.5042016806722689,0.015254694423105453,2835.737832621187,29244.023580555197,Low
88,12434.0,4.0,297.0,381.0,191.2975,0.04991087062024935,0.9500891293797507,0.3082704490877756,0.40404040404040403,0.09576995495262841,239.08864986853987,1468.431581492007,Medium
89,12435.0,5.0,658.0,737.0,2583.5860000000002,0.021464829471977365,0.9785351705280226,0.21326317014578391,0.22796352583586627,0.01470035569008235,3072.699595339474,13742.661866983528,Medium
91,12437.0,39.0,736.0,737.0,302.98897435897436,0.00019590178107875555,0.9998040982189212,1.4876602690397172,1.5896739130434783,0.10201364400376112,309.323408719979,9985.350847075431,Low
92,12438.0,1.0,126.0,140.0,2016.78,0.00951552708227954,0.9904844729177205,0.2650004988029118,0.23809523809523808,-0.02690526070767374,9871.165429763038,52090.93444371947,Low
93,12439.0,1.0,43.0,725.0,76.52000000000001,0.7551113348292673,0.24488866517073277,0.017036393286930303,0.6976744186046512,0.6806380253177209,378.98633118468433,103.61469724906341,Medium
94,12440.0,2.0,260.0,717.0,99.82,0.3813797059209528,0.6186202940790472,0.06717359353530428,0.23076923076923078,0.1635956372339265,166.54443493148625,167.71895067947196,Medium
98,12444.0,4.0,150.0,171.0,783.8149999999999,0.015204914365430255,0.9847950856345697,0.6032359536810827,0.8,0.1967640463189173,978.7171090200253,11818.104738499083,Low
99,12445.0,2.0,398.0,420.0,62.45,0.007227014539008536,0.9927729854609915,0.1736998776603765,0.15075376884422112,-0.022946108816155386,104.4889575560619,376.47309407726704,Low
103,12449.0,5.0,416.0,438.0,831.458,0.007472434711308651,0.9925275652886913,0.34467502919027687,0.3605769230769231,0.0159018938866462,989.0188946232687,7094.010232517019,Low
104,12450.0,6.0,318.0,474.0,86.42166666666667,0.16994622238550783,0.8300537776144922,0.31513765452876014,0.5660377358490566,0.25090008132029645,99.8148738244902,565.8459899020811,Low
105,12451.0,8.0,519.0,529.0,1299.4075,0.002733933652970255,0.9972660663470297,0.4441635583242583,0.4624277456647399,0.018264187340481575,1443.0345674945072,13557.80743577821,Low
108,12454.0,6.0,629.0,682.0,719.8266666666668,0.01441435951320913,0.9855856404867909,0.2701169143713774,0.2861685214626391,0.016051607091261688,830.0480404717927,4733.858547001762,Low
109,12455.0,9.0,648.0,721.0,471.50222222222214,0.024527109916880563,0.9754728900831194,0.36562976218927234,0.41666666666666663,0.051036904477394285,517.3399580810924,3946.7794216679736,Low
110,12456.0,3.0,210.0,254.0,737.9066666666668,0.026963761879188475,0.9730362381208115,0.3499120911607738,0.42857142857142855,0.07865933741065473,1004.6547559602585,7059.733575546302,Low
111,12457.0,10.0,377.0,435.0,183.96300000000002,0.03681835195857963,0.9631816480414204,0.6248434812226916,0.7957559681697614,0.17091248694706973,199.9669626618443,2524.4956160003844,Low
112,12458.0,3.0,416.0,487.0,465.6266666666667,0.02633757515019719,0.9736624248498028,0.20252306088229716,0.21634615384615385,0.013823092963856698,634.1059840865465,2629.2098923318563,Low
115,12461.0,1.0,60.0,154.0,200.0,0.10890971974235886,0.8910902802576411,0.22318582912899784,0.5,0.27681417087100213,983.0776772375098,4324.634174643439,Low
116,12462.0,3.0,301.0,303.0,120.63333333333333,0.0007796125434712531,0.9992203874565287,0.31155738739742367,0.2990033222591362,-0.012554065138287496,164.60085711693867,1054.1599024581367,Low
117,12463.0,5.0,195.0,241.0,191.812,0.03609105982283867,0.9639089401771613,0.5497891538936492,0.7692307692307692,0.21944161533711992,228.33358767633476,2507.94636277778,Low
118,12464.0,6.0,299.0,309.0,166.35833333333332,0.0042113155109781975,0.9957886844890218,0.5445339769037062,0.6020066889632107,0.05747271205950455,191.97140121412218,2146.7842248545653,Low
119,12465.0,2.0,162.0,169.0,146.475,0.004142003577347286,0.9958579964226527,0.36071214614801583,0.37037037037037035,0.009658224222354517,244.0182989119632,1766.4602464160196,Low
122,12468.0,9.0,546.0,689.0,403.3488888888889,0.09786956305949879,0.9021304369405012,0.35247204691709927,0.4945054945054945,0.14203344758839526,442.5776916733198,2947.404067420567,Low
123,12469.0,1.0,14.0,536.0,1113.7,0.7520464369210288,0.24795356307897118,0.022666046560635946,2.142857142857143,2.120191096296507,5453.099242579805,2298.110100065485,Low
125,12471.0,90.0,735.0,737.0,421.8778888888889,0.0004292027220670347,0.999570797277933,3.391511270093053,3.673469387755102,0.2819581176620489,425.65113960798897,31316.95054859791,Low
126,12472.0,36.0,700.0,730.0,472.70750000000004,0.012857458706592273,0.9871425412934077,1.3701461189178243,1.542857142857143,0.1727110239393186,483.41724788591165,14080.902030035242,Low
127,12473.0,4.0,162.0,191.0,553.01,0.021260482278557036,0.978739517721443,0.5527558732831533,0.7407407407407407,0.18798486745758736,690.6075653956453,7642.38736829036,Low
128,12474.0,45.0,649.0,666.0,262.39444444444445,0.006412557296634369,0.9935874427033656,1.866101508752927,2.080123266563944,0.2140217578110173,267.1384635125922,10645.079858597688,Low
129,12475.0,1.0,356.0,409.0,723.38,0.019038575847991956,0.980961424152008,0.11365768016671682,0.08426966292134831,-0.029388017245368506,3543.56786752847,8235.426896816904,Low
130,12476.0,25.0,500.0,501.0,499.3552,0.00026935503905667346,0.9997306449609433,1.3663736657523713,1.5,0.1336263342476287,515.8080333136376,14914.440408950364,Low
131,12477.0,11.0,601.0,623.0,1650.219090909091,0.005975509786745659,0.9940244902132543,0.5121312241507717,0.5490848585690516,0.036953634418279924,1778.972420173475,19380.145050225427,Low
134,12480.0,7.0,479.0,507.0,711.8857142857142,0.009097823634894864,0.9909021763651051,0.4064053277060418,0.4384133611691023,0.03200803346306047,803.3238003339189,6834.980366587635,Low
135,12481.0,15.0,585.0,607.0,616.4953333333334,0.0065921097004900675,0.9934078902995099,0.7010853849949984,0.7692307692307692,0.06814538423577077,651.0921352869667,9688.37232172464,Low
136,12482.0,6.0,204.0,653.0,2575.9616666666666,0.9498930237670682,0.050106976232931755,0.014286635217453377,0.8823529411764706,0.8680663059590172,2969.9290625270187,502.6810342548256,Low
137,12483.0,21.0,660.0,677.0,218.34142857142857,0.004580807338551152,0.9954191926614488,0.8774222339523048,0.9545454545454545,0.07712322059314969,226.98599039539295,4268.021776526898,Low
138,12484.0,15.0,704.0,736.0,420.47999999999996,0.008717477193015855,0.9912825228069841,0.5870486932728131,0.6392045454545454,0.052155852181732354,444.09791361695886,5579.318361286717,Low
142,12488.0,2.0,66.0,75.0,372.635,0.008333527418045383,0.9916664725819546,0.6001282773326874,0.9090909090909092,0.3089626317582218,619.572667743271,7344.704760381717,Medium
144,12490.0,21.0,733.0,738.0,438.7952380952381,0.0010243888508945087,0.9989756111491055,0.8137443377358384,0.859481582537517,0.04573724480167862,456.1206633192799,8042.812107866888,Low
